id,code,site_number,fac_type,fac_use,faa_region,faa_dist,city,county,state,full_name,own_type,longitude,latitude,elevation,aero_cht,cbd_dist,cbd_dir,act_date,cert,fed_agree,cust_intl,c_ldg_rts,joint_use,mil_rts,cntl_twr,major
16,AKP,50032.*A,AIRPORT,PU,AAL,NONE,ANAKTUVUK PASS,YUKON-KOYUKUK,AK,ANAKTUVUK PASS,PU,-151.740000,68.130000,2107,POINT BARROW,0,SE,,,NGY,N,N,N,Y,N,N
17,CSR,50033.*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,CAMPBELL AIRSTRIP,PU,-149.780000,61.150000,286,ANCHORAGE,4,SE,,,,N,N,N,,N,N
18,AK38,50033.01*H,HELIPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,PROVIDENCE HOSPITAL,PR,-149.820000,61.190000,140,ANCHORAGE,3,SE,11/1986,,,,,,,N,N
19,2OK,50033.1*H,HELIPORT,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,ALASKA REGIONAL HOSPITAL,PU,-149.840000,61.210000,137,ANCHORAGE,0,E,03/1993,,NGY,,,,,N,N
20,AK82,50033.2*H,HELIPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,CAMPBELL BLM,PU,-149.790000,61.150000,235,ANCHORAGE,4,SE,,,,N,N,N,Y,N,N
21,AK12,50033.4*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,FLYING CROWN,PR,-149.860000,61.100000,47,ANCHORAGE,6,S,,,,,,,,N,N
22,A13,50033.5*A,AIRPORT,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,BOLD,PU,-148.980000,61.340000,900,ANCHORAGE,16,N,08/1990,,,,,,,N,N
23,AK37,50033.6*H,HELIPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,POINT MACKENZIE,PU,-150.030000,61.240000,72,ANCHORAGE,0,N,03/1991,,,,,,,N,N
24,AK07,50033.8*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,DOG FISH BAY,PR,-151.870000,59.240000,10,KODIAK,0,N,12/1991,,,,,,,N,N
25,ANC,50034.*A,AIRPORT,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,PU,-149.990000,61.170000,144,ANCHORAGE,4,SW,,ES 03/1973,NGSY,N,Y,N,Y,Y,Y
26,MRI,50035.*A,AIRPORT,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,MERRILL FIELD,PU,-149.840000,61.210000,137,ANCHORAGE,0,E,,,NGSY,,,,,Y,N
27,EDF,50036.*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,ELMENDORF AFB,MA,-149.790000,61.250000,213,ANCHORAGE,3,NE,,,,N,N,Y,Y,Y,N
28,AK91,50036.01*H,HELIPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,ELMENDORF HOSPITAL,MA,-149.740000,61.230000,228,ANCHORAGE,3,E,,,,N,N,N,,N,N
29,5FI,50036.02*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,FIRE ISLAND,PU,-150.160000,61.160000,55,ANCHORAGE,7,SW,,,,N,N,N,N,N,N
30,AK92,50036.03*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,RABBIT CREEK,PR,-149.820000,61.080000,35,ANCHORAGE,7,S,,,,N,N,N,N,N,N
31,Z38,50036.1*A,AIRPORT,PR,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,SKY HARBOR,PR,-149.820000,61.110000,340,ANCHORAGE,7,SE,,,,N,N,N,N,N,N
32,FRN,50036.5*H,HELIPORT,PR,AAL,NONE,FORT RICHARDSON(ANCHORAGE),ANCHORAGE,AK,BRYANT AHP,MR,-149.650000,61.260000,378,ANCHORAGE,0,E,,,,N,N,N,Y,N,N
33,Z41,50036.99*A,AIRPORT,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,LAKE HOOD STRIP,PU,-149.960000,61.180000,73,ANCHORAGE,3,SW,,,,N,N,,Y,N,N
34,LHD,50037.*C,SEAPLANE BASE,PU,AAL,NONE,ANCHORAGE,ANCHORAGE,AK,LAKE HOOD,PU,-149.970000,61.180000,71,ANCHORAGE,3,SW,,,NGY,N,N,N,Y,Y,N
35,AK00,50037.3*A,AIRPORT,PR,AAL,NONE,ANCHOR POINT,KENAI PENINSULA,AK,ANCHOR RIVER AIRPARK,PR,-151.860000,59.790000,120,KODIAK,1,NW,02/2000,,,,,,,N,N
36,AGN,50037.6*C,SEAPLANE BASE,PU,AAL,NONE,ANGOON,SITKA,AK,ANGOON,PU,-134.580000,57.500000,0,JUNEAU,1,SE,,,NGY,N,N,N,Y,N,N
37,ANI,50038.*A,AIRPORT,PU,AAL,NONE,ANIAK,KUSKOKWIM,AK,ANIAK,PU,-159.540000,61.580000,88,MC GRATH,0,S,,,RGPY,,,,,N,N
38,ANN,50039.*A,AIRPORT,PR,AAL,NONE,ANNETTE,KETCHIKAN,AK,ANNETTE ISLAND,PR,-131.570000,55.040000,119,KETCHIKAN,0,N,,,,N,N,N,Y,N,N
39,Z43,50039.01*C,SEAPLANE BASE,PU,AAL,NONE,ANNETTE,KETCHIKAN,AK,TAMGAS HARBOR,PU,-131.550000,55.060000,0,KETCHIKAN,2,NE,,,1,N,N,N,N,N,N
40,ANV,50039.1*A,AIRPORT,PU,AAL,NONE,ANVIK,KUSKOKWIM,AK,ANVIK,PU,-160.180000,62.640000,309,MC GRATH,1,SE,,,,,,,Y,N,N
41,K40,50039.11*C,SEAPLANE BASE,PU,AAL,NONE,ANVIK,KUSKOKWIM,AK,ANVIK,PU,-160.200000,62.650000,52,MC GRATH,0,NW,,,,N,N,N,N,N,N
42,ARC,50039.8*A,AIRPORT,PU,AAL,NONE,ARCTIC VILLAGE,UPPER YUKON,AK,ARCTIC VILLAGE,PU,-145.570000,68.110000,2086,POINT BARROW,1,SW,,,NGY,,,,,N,N
43,AKA,50040.5*A,AIRPORT,PU,AAL,NONE,ATKA,UNORGANIZED,AK,ATKA,PU,-174.200000,52.220000,56,ANCHORAGE,2,N,,,NGY,,,,Y,N,N
44,4A2,50044.*A,AIRPORT,PU,AAL,NONE,ATMAUTLUAK,BETHEL,AK,ATMAUTLUAK,PU,-162.270000,60.860000,17,BETHEL,0,SW,,,N,N,N,,Y,N,N
45,ATK,50044.5*A,AIRPORT,PU,AAL,NONE,ATQASUK,NORTH SLOPE,AK,ATQASUK EDWARD BURNELL SR MEMORIAL,PU,-157.430000,70.460000,96,CAPE LISBURNE,1,S,,,NGY,N,N,N,Y,N,N
46,ATU,50046.*A,AIRPORT,PR,AAL,NONE,ATTU,ALEUTIAN ISLANDS,AK,CASCO COVE CGS,PU,173.180000,52.820000,40,W ALEUTIAN ISLS,0,N,,,,N,N,N,,N,N
47,BNF,50053.*C,SEAPLANE BASE,PU,AAL,NONE,BARANOF,WRANGELL-PETERSBURG,AK,WARM SPRING BAY,PU,-134.830000,57.080000,0,JUNEAU,0,SE,,,1,N,N,N,N,N,N
48,BRW,50054.3*A,AIRPORT,PU,AAL,NONE,BARROW,NORTH SLOPE,AK,WILEY POST-WILL ROGERS MEM,PU,-156.760000,71.280000,44,POINT BARROW,0,SE,,BS 05/1973,NGSY,N,N,N,Y,N,Y
49,BQV,50056.*C,SEAPLANE BASE,PU,AAL,NONE,BARTLETT COVE,SKAGWAY-YAKUTAT,AK,BARTLETT COVE,PU,-135.880000,58.450000,0,JUNEAU,0,NW,,,,N,N,N,N,N,N
50,Z47,50056.5*A,AIRPORT,PU,AAL,NONE,BASIN CREEK,NOME,AK,BASIN CREEK,PR,-165.290000,64.670000,140,NOME,0,W,,,,N,N,N,Y,N,N
51,AK02,50057.*A,AIRPORT,PR,AAL,NONE,BEAR CREEK,KOBUK,AK,BEAR CREEK 1,PU,-161.060000,65.530000,575,NOME,0,NE,,,,N,N,N,N,N,N
52,Z48,50057.2*A,AIRPORT,PU,AAL,NONE,BEAR CREEK,KUSKOKWIM,AK,BEAR CREEK 3,PU,-156.140000,63.570000,740,MC GRATH,3,W,,,,N,N,N,N,N,N
53,Z52,50057.4*A,AIRPORT,PU,AAL,NONE,BEAR LAKE,ALEUTIAN ISLANDS,AK,JOHNSONS LANDING,PU,-160.260000,56.030000,130,KODIAK,1,S,,,,N,N,N,N,N,N
54,WBQ,50058.*A,AIRPORT,PU,AAL,NONE,BEAVER,UPPER YUKON,AK,BEAVER,PU,-147.400000,66.360000,365,FAIRBANKS,0,N,,,NGS,N,N,N,,N,N
55,KBE,50059.9*C,SEAPLANE BASE,PR,AAL,NONE,BELL ISLAND,KETCHIKAN,AK,BELL ISLAND HOT SPRINGS,PR,-131.570000,55.920000,0,KETCHIKAN,0,SW,,,,N,N,N,N,N,N
56,BLG,50059.95*A,AIRPORT,PR,AAL,NONE,BELUGA,KENAI-COOK INLET,AK,BELUGA,PR,-151.040000,61.170000,130,ANCHORAGE,0,,,,,N,N,N,N,N,N
57,Z58,50060.1*C,SEAPLANE BASE,PU,AAL,NONE,BETHEL,BETHEL,AK,HANGAR LAKE,PU,-161.720000,60.790000,17,MC GRATH,1,NE,,,,N,N,N,Y,N,N
58,Z59,50060.2*C,SEAPLANE BASE,PU,AAL,NONE,BETHEL,BETHEL,AK,BETHEL,PU,-161.740000,60.780000,15,MC GRATH,0,S,,,,N,N,N,N,N,N
59,BET,50061.1*A,AIRPORT,PU,AAL,NONE,BETHEL,BETHEL,AK,BETHEL,PU,-161.830000,60.770000,123,MC GRATH,3,SW,,BS 05/1973,,,,,,Y,Y
60,BTT,50062.*A,AIRPORT,PU,AAL,NONE,BETTLES,YUKON-KOYUKUK,AK,BETTLES,PU,-151.520000,66.910000,643,FAIRBANKS,0,N,,,,,,,,N,N
61,2A4,50062.01*C,SEAPLANE BASE,PU,AAL,NONE,BETTLES,YUKON-KOYUKUK,AK,VOR LAKE WATERLANE,PU,-151.490000,66.880000,631,FAIRBANKS,2,SE,10/1999,,,,,,,N,N
62,BGQ,50068.6*A,AIRPORT,PU,AAL,NONE,BIG LAKE,UNORGANIZED,AK,BIG LAKE,PU,-149.810000,61.530000,150,ANCHORAGE,1,SE,,,,,,,,N,N
63,37AK,50068.61*A,AIRPORT,PR,AAL,NONE,BIG MOUNTAIN,KODIAK,AK,BIG MOUNTAIN,MA,-155.250000,59.360000,663,KODIAK,3,SW,,,,,,,,N,N
64,AK95,50068.62*A,AIRPORT,PR,AAL,NONE,BIG LAKE,MATA-SUS BOROUGH,AK,TWIN LAKE,PR,-149.780000,61.570000,200,ANCHORAGE,3,N,08/1997,,,,,,,N,N
65,Z91,50068.78*A,AIRPORT,PU,AAL,NONE,BIRCH CREEK,FAIRBANKS NORTH STAR,AK,BIRCH CREEK,PU,-145.820000,66.270000,450,FAIRBANKS,1,N,,,,,,,,N,N
66,BCV,50069.*A,AIRPORT,PU,AAL,NONE,BIRCHWOOD,ANCHORAGE,AK,BIRCHWOOD,PU,-149.500000,61.410000,96,ANCHORAGE,2,NW,,,NGY,,,,,N,N
67,5BK,50070.*A,AIRPORT,PU,AAL,NONE,BLACK RAPIDS,FAIRBANKS NORTH STAR,AK,BLACK RAPIDS,PU,-145.860000,63.530000,2125,ANCHORAGE,0,N,,,,,,,,N,N
68,AK97,50071.72*A,AIRPORT,PR,AAL,NONE,BOSWELL BAY,CORDOVA-MCCARTHY,AK,BOSWELL BAY,PU,-146.140000,60.420000,230,ANCHORAGE,1,E,,,,N,N,N,Y,N,N
69,BYA,50072.*A,AIRPORT,PU,AAL,NONE,BOUNDARY,UPPER YUKON,AK,BOUNDARY,PU,-141.110000,64.070000,2940,DAWSON,0,W,,,,,,,Y,N,N
70,KTS,50072.5*A,AIRPORT,PU,AAL,NONE,BREVIG MISSION,NOME,AK,BREVIG MISSION,PU,-166.460000,65.330000,25,NOME,0,E,,,NGSY,,,,,N,N
71,AK98,50073.*A,AIRPORT,PR,AAL,NONE,BUCK CREEK,NOME,AK,BUCK CREEK,PU,-167.480000,65.630000,560,NOME,1,N,,,,N,N,N,N,N,N
72,BVK,50073.1*A,AIRPORT,PU,AAL,NONE,BUCKLAND,UNORGANIZED,AK,BUCKLAND,PU,-161.150000,65.980000,24,NOME,1,SW,,,,,,,Y,N,N
73,AK99,50074.3*A,AIRPORT,PR,AAL,NONE,CAMDEN BAY,UPPER YUKON,AK,BROWN LOW POINT,PU,-144.830000,69.980000,8,POINT BARROW,0,N,,,,N,N,N,N,N,N
74,CDL,50075.1*A,AIRPORT,PU,AAL,NONE,CANDLE,UNORGANIZED,AK,CANDLE 2,PR,-161.920000,65.900000,15,NOME,0,NE,,,,,,,,N,N
75,TTW,50078.*A,AIRPORT,PU,AAL,NONE,CANTWELL,MATA-SUS BOROUGH,AK,CANTWELL,PR,-148.950000,63.390000,2190,ANCHORAGE,0,N,,,,,,,,N,N
76,C36,50078.01*H,HELIPORT,PU,AAL,NONE,CANTWELL,MATA-SUS BOROUGH,AK,IGLOO,PR,-149.360000,63.180000,2000,ANCHORAGE,23,S,09/1983,,,,,Y,,N,N
77,Z70,50078.12*A,AIRPORT,PR,AAL,NONE,CANTWELL,YUKON-KOYUKUK,AK,GOLDEN NORTH AIRFIELD,PR,-148.850000,63.370000,2250,ANCHORAGE,3,E,,,,,,,,N,N
78,Z53,50080.5*A,AIRPORT,PU,AAL,NONE,CAPE BEAUFORT,BARROW,AK,CAPE SABINE,PU,-163.850000,69.020000,50,CAPE LISBURNE,50,NE,,,,,,,,N,N
79,CDE,50080.6*H,HELIPORT,PR,AAL,NONE,CAPE DECISION,WRANGELL-PETERSBURG,AK,CAPE DECISION C. G.,PU,-134.130000,56.000000,34,JUNEAU,0,N,,,,N,N,N,N,N,N
80,LUR,50082.*A,AIRPORT,PR,AAL,NONE,CAPE LISBURNE,BARROW,AK,CAPE LISBURNE LRRS,MA,-166.110000,68.870000,12,CAPE LISBURNE,0,N,,LU 08/1976,,N,N,N,,N,N
81,EHM,50084.*A,AIRPORT,PR,AAL,NONE,CAPE NEWENHAM,BETHEL,AK,CAPE NEWENHAM LRRS,MA,-162.060000,58.640000,541,GNC 6,1,SE,,LU 08/1976,,N,N,N,Y,N,N
82,Z71,50086.*C,SEAPLANE BASE,PU,AAL,NONE,CAPE POLE,PRINCE OF WALES,AK,CAPE POLE,PR,-133.790000,55.960000,0,KETCHIKAN,0,W,,,,,,,,N,N
83,CZF,50088.*A,AIRPORT,PR,AAL,NONE,CAPE ROMANZOF,WADE HAMPTON,AK,CAPE ROMANZOF LRRS,MA,-166.030000,61.780000,457,BETHEL,6,SE,,LU 08/1976,,N,N,N,,N,N
84,26AK,50088.3*A,AIRPORT,PR,AAL,NONE,CAPE SARICHEF,ALEUTIAN ISLANDS,AK,CAPE SARICHEF,PU,-164.910000,54.580000,291,DUTCH HARBOR,0,N,,,,N,N,N,Y,N,N
85,0AK2,50088.5*A,AIRPORT,PR,AAL,NONE,CAPE SIMPSON,BARROW,AK,CAPE SIMPSON,PU,-154.750000,71.050000,11,POINT BARROW,0,N,,,,N,N,,,N,N
86,CSP,50088.53*H,HELIPORT,PR,AAL,NONE,CAPE SPENCER,SKAGWAY-YAKUTAT,AK,CAPE SPENCER C.G.,PU,-136.630000,58.190000,84,JUNEAU,0,N,,,,N,N,N,N,N,N
87,CEM,50090.*A,AIRPORT,PU,AAL,NONE,CENTRAL,UPPER YUKON,AK,CENTRAL,PU,-144.780000,65.570000,932,DAWSON,0,N,,,,,,,Y,N,N
88,CIK,50092.*A,AIRPORT,PU,AAL,NONE,CHALKYITSIK,UPPER YUKON,AK,CHALKYITSIK,PU,-143.730000,66.640000,560,DAWSON,0,SW,,,,,,,,N,N
89,5CD,50093.95*A,AIRPORT,PU,AAL,NONE,CHANDALAR CAMP,UPPER YUKON,AK,CHANDALAR SHELF,PU,-149.570000,68.060000,3222,FAIRBANKS,0,W,,,,,,,Y,N,N
90,WCR,50094.3*A,AIRPORT,PU,AAL,NONE,CHANDALAR LAKE,UPPER YUKON,AK,CHANDALAR LAKE,PU,-148.480000,67.500000,1920,FAIRBANKS,0,N,,,,,,,Y,N,N
91,CYM,50095.*C,SEAPLANE BASE,PU,AAL,NONE,CHATHAM,SITKA,AK,CHATHAM,PR,-134.940000,57.510000,0,JUNEAU,0,NE,,,N,N,N,N,N,N,N
92,CFK,50095.12*A,AIRPORT,PU,AAL,NONE,CHEFORNAK,BETHEL,AK,CHEFORNAK,PU,-164.280000,60.140000,40,BETHEL,0,E,,,,,,,Y,N,N
93,AK13,50095.4*A,AIRPORT,PR,AAL,NONE,CHENA HOT SPRINGS,FAIRBANKS,AK,CHENA HOT SPRINGS,PR,-146.040000,65.050000,1195,FAIRBANKS,0,E,,,,N,N,N,N,N,N
94,C05,50095.7*A,AIRPORT,PU,AAL,NONE,CHENEGA,SEWARD,AK,CHENEGA BAY,PU,-147.990000,60.070000,72,SEWARD,1,NE,09/1994,,NGY,,,,,N,N
95,KCN,50096.*C,SEAPLANE BASE,PU,AAL,NONE,CHERNOFSKI HARBOR,ALEUTIAN ISLANDS,AK,CHERNOFSKI HARBOR,PU,-167.550000,53.390000,0,DUTCH HARBOR,0,N,,,,N,N,N,N,N,N
96,VAK,50096.22*A,AIRPORT,PU,AAL,NONE,CHEVAK,WADE HAMPTON,AK,CHEVAK,PU,-165.580000,61.530000,75,BETHEL,1,N,,,N,N,N,N,Y,N,N
97,CKX,50097.*A,AIRPORT,PU,AAL,NONE,CHICKEN,UPPER YUKON,AK,CHICKEN,PU,-141.950000,64.070000,1640,DAWSON,0,SW,,,NGY,N,N,N,N,N,N
98,Z78,50097.5*C,SEAPLANE BASE,PU,AAL,NONE,CHIGNIK,ALEUTIAN ISLANDS,AK,CHIGNIK BAY,PU,-158.400000,56.290000,0,KODIAK,0,N,,,,N,N,N,N,N,N
99,KCL,50097.51*A,AIRPORT,PU,AAL,NONE,CHIGNIK FLATS,ALEUTIAN ISLANDS,AK,CHIGNIK LAGOON,PU,-158.530000,56.310000,50,KODIAK,0,SW,,,N,N,N,N,Y,N,N
100,KCG,50097.52*A,AIRPORT,PU,AAL,NONE,CHIGNIK,ALEUTIAN ISLANDS,AK,CHIGNIK FISHERIES,PR,-158.590000,56.310000,25,KODIAK,6,NW,,,,N,N,N,N,N,N
101,AJC,50097.53*A,AIRPORT,PU,AAL,NONE,CHIGNIK,ALEUTIAN ISLANDS,AK,CHIGNIK,PU,-158.370000,56.310000,18,KODIAK,2,NE,,,NGY,N,N,N,Y,N,N
102,A79,50097.54*A,AIRPORT,PU,AAL,NONE,CHIGNIK LAKE,ALEUTIAN ISLANDS,AK,CHIGNIK LAKE,PU,-158.770000,56.250000,50,COLD BAY,0,SW,,,NGY,N,N,N,Y,N,N
103,CZN,50099.*A,AIRPORT,PU,AAL,NONE,CHISANA,FAIRBANKS,AK,CHISANA,PU,-142.040000,62.070000,3318,ANCHORAGE,0,N,,,N,N,N,N,Y,N,N
104,CZO,50101.*A,AIRPORT,PU,AAL,NONE,CHISTOCHINA,VALDEZ-CHITNA-WHITIE,AK,CHISTOCHINA,PU,-144.660000,62.560000,1850,ANCHORAGE,0,SW,,,,N,N,N,N,N,N
105,CXC,50103.*A,AIRPORT,PU,AAL,NONE,CHITINA,VALDEZ-CHITNA-WHITIE,AK,CHITINA,PU,-144.420000,61.580000,556,ANCHORAGE,4,N,,,NS1,N,N,N,Y,N,N
106,9A3,50104.37*A,AIRPORT,PU,AAL,NONE,CHUATHBALUK,KUSKOKWIM,AK,CHUATHBALUK,PU,-159.230000,61.580000,300,MC GRATH,1,NE,01/1988,,,,,,Y,N,N
107,AK24,50104.45*A,AIRPORT,PR,AAL,NONE,CHUGIAK,ANCHORAGE,AK,HILLTOP,PR,-149.440000,61.410000,375,ANCHORAGE,3,N,,,,N,N,N,N,N,N
108,CRC,50106.5*A,AIRPORT,PU,AAL,NONE,CIRCLE,UPPER YUKON,AK,CIRCLE CITY /NEW/,PU,-144.070000,65.830000,610,DAWSON,0,N,02/1988,,NGY,,,,,N,N
109,CHP,50108.*A,AIRPORT,PU,AAL,NONE,CIRCLE HOT SPRINGS,UPPER YUKON,AK,CIRCLE HOT SPRINGS,PU,-144.610000,65.480000,956,DAWSON,0,NE,,,NS1,N,N,N,,N,N
110,CLP,50108.3*A,AIRPORT,PU,AAL,NONE,CLARKS POINT,BRISTOL BAY,AK,CLARKS POINT,PU,-158.540000,58.840000,10,KODIAK,0,N,,,N,N,N,N,Y,N,N
111,Z84,50109.01*A,AIRPORT,PU,AAL,NONE,CLEAR,YUKON-KOYUKUK,AK,CLEAR,PU,-149.120000,64.300000,552,FAIRBANKS,3,SE,,,,N,N,N,N,N,N
112,CLF,50109.11*A,AIRPORT,PU,AAL,NONE,CLEAR,YUKON-KOYUKUK,AK,CLEAR SKY LODGE,PR,-149.180000,64.250000,650,FAIRBANKS,4,S,,,,N,N,N,N,N,N
113,Z86,50110.*A,AIRPORT,PU,AAL,NONE,CLEARWATER,SOUTHEAST FAIRBANKS,AK,CLEARWATER,PU,-147.170000,63.020000,2900,ANCHORAGE,0,S,,,,N,N,N,N,N,N
114,KCC,50112.6*C,SEAPLANE BASE,PU,AAL,NONE,COFFMAN COVE,PRINCE OF WALES,AK,COFFMAN COVE,PU,-132.840000,56.000000,0,JUNEAU,0,W,,,,N,N,N,,N,N
115,CDB,50114.*A,AIRPORT,PU,AAL,NONE,COLD BAY,ALEUTIAN ISLANDS,AK,COLD BAY,PU,-162.720000,55.200000,98,COLD BAY,0,N,,BS 05/1973,NGPY,N,Y,N,Y,N,N
116,Z87,50114.01*C,SEAPLANE BASE,PU,AAL,NONE,COLD BAY,ALEUTIAN ISLANDS,AK,BLINN LAKE,PU,-162.750000,55.250000,50,COLD BAY,3,N,,,,N,N,N,N,N,N
117,CXF,50114.35*A,AIRPORT,PU,AAL,NONE,COLDFOOT,UPPER YUKON,AK,COLDFOOT,PU,-150.200000,67.250000,1050,FAIRBANKS,0,N,,,,N,N,N,Y,N,N
118,KCR,50116.*A,AIRPORT,PR,AAL,NONE,COLORADO CREEK,KUSKOKWIM,AK,COLORADO CREEK,PR,-155.980000,63.560000,860,MC GRATH,0,S,,,,N,N,N,N,N,N
119,JLA,50121.5*A,AIRPORT,PU,AAL,NONE,COOPER LANDING,KENAI-COOK INLET,AK,QUARTZ CREEK,PU,-149.710000,60.480000,450,ANCHORAGE,3,W,,,,N,N,N,Y,N,N
120,Z93,50122.1*A,AIRPORT,PU,AAL,NONE,COPPER CENTER,VALDEZ-CHITNA-WHITIE,AK,COPPER CENTER 2,PU,-145.290000,61.940000,1150,ANCHORAGE,1,S,,,,N,N,N,Y,N,N
121,CDV,50124.*A,AIRPORT,PU,AAL,NONE,CORDOVA,CORDOVA-MCCARTHY,AK,MERLE K (MUDHOLE) SMITH,PU,-145.470000,60.490000,42,ANCHORAGE,11,SE,,BS 05/1973,NGPSY,N,N,N,Y,N,Y
122,CKU,50125.*A,AIRPORT,PU,AAL,NONE,CORDOVA,CORDOVA-MCCARTHY,AK,CORDOVA MUNI,PU,-145.720000,60.540000,12,ANCHORAGE,1,E,,,N,N,N,N,Y,N,N
123,K29,50127.*A,AIRPORT,PU,AAL,NONE,COUNCIL,NOME,AK,COUNCIL,PU,-163.700000,64.890000,85,NOME,1,N,11/1990,,,,,,Y,N,N
124,CGA,50130.*C,SEAPLANE BASE,PU,AAL,NONE,CRAIG,PRINCE OF WALES,AK,CRAIG,PU,-133.140000,55.470000,0,KETCHIKAN,0,N,,,Y1,N,N,N,Y,N,N
125,1AK0,50130.1*H,HELIPORT,PR,AAL,NONE,CRAIG,PRINCE OF WALES,AK,CRAIG CG,PU,-133.140000,55.470000,20,KETCHIKAN,0,E,,,,N,N,N,N,N,N
126,1AK1,50130.4*A,AIRPORT,PR,AAL,NONE,CREVICE CREEK,YUKON-KOYUKUK,AK,CREVICE CREEK,PR,-152.010000,67.370000,840,FAIRBANKS,0,NW,,,,N,N,N,N,N,N
127,CJX,50132.1*A,AIRPORT,PU,AAL,NONE,CROOKED CREEK,KUSKOKWIM,AK,CROOKED CREEK,PU,-158.130000,61.860000,128,MC GRATH,2,S,,,NGY,,,,Y,N,N
